index,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,1254,2000
1,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Other Kharif pulses,2,1
2,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102,321
3,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,176,641
4,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Cashewnut,720,165
5,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,18168,65100000
6,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Dry ginger,36,100
7,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,1,2
8,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,5,15
9,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,40,169
10,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Arecanut,1254,2061
11,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Other Kharif pulses,2,1
12,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83,300
13,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Cashewnut,719,192
14,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,18190,64430000
15,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Dry ginger,46,100
16,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1,1
17,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,11,33
18,Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84
19,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,1258,2083
20,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213,1278
21,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63,13.5
22,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Cashewnut,719,208
23,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,18240,67490000
24,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,413,28.8
25,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry ginger,47.3,133
26,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,5,40
27,Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52,90.17
28,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut,1261,1525
29,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,266,1763
30,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,75.5,15.86
31,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut,717,208.5
32,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,18284.74,68580000
33,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies,60,102
34,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger,102,326.4
35,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,other oilseeds,4.2,0.3
36,Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57
37,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Arecanut,1264.7,805.85
38,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,66.42,404.12
39,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Black pepper,85,15.86
40,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Cashewnut,683.5,197.9
41,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,18394.7,52380000
42,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry chillies,60,145.2
43,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry ginger,118,366
44,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,other oilseeds,1,0.11
45,Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06
46,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Arecanut,795.67,
47,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,22,582
48,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,41,0.1
49,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Cashewnut,450,55.8
50,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Coconut ,13876.57,52030000
51,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Dry chillies,17,
52,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Turmeric,10,70
53,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Arecanut,896,477.6
54,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,198,976
55,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,22.16,0.68
56,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Cashewnut,450,85.13
57,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Coconut ,14358,59370000
58,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry chillies,3,9
59,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry ginger,6,21
60,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sugarcane,0.2,0.5
61,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sweet potato,18,86
62,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Tapioca,52.03,450
63,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Turmeric,2.5,1.03
64,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10
65,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Sugarcane,13.4,41.75
66,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Arecanut,944,1610
67,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Black pepper,23,8.5
68,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Cashewnut,1000.5,260.5
69,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry chillies,12,25
70,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry ginger,7,9.64
71,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Maize,3.84,18.22
72,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Moong(Green Gram),1.5,1.1
73,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Sweet potato,22,208
74,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Turmeric,2,0.5
75,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Urad,1.5,1.16
76,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,593,3425
77,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Coconut ,14560,71300000
78,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Tapioca,69,575
79,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Arecanut,3100,5200
80,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Other Kharif pulses,668,448
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779,31863
82,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Banana,1531,12073
83,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Cashewnut,80,54
84,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Coconut ,6992,23900000
85,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Dry ginger,352,1120
86,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,other oilseeds,133,55
87,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sugarcane,141,3736
88,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sweet potato,78,843
89,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Tapioca,160,2108
90,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Arecanut,3100,5239
91,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Other Kharif pulses,418,199
92,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,9718,27033
